,ID,ARTIST,TITLE,BARCODE,UNIT,FORMAT,LABEL,PRICE,PRECISION,DELIVERY,STOCK,DATE
1180,COUNT141,WHAT SO NOT,NOT ALL THE BEAUTIFUL THINGS,5054429131932,1,LP,Ninja Tune,1444,0,1,1,09.03.2018
1183,PRD74361,The Robert Cray Band,In My Soul (180 Gr.),819873010739,1,LP,Mascot,1000,0,1,1,28.03.2014
1189,BHM 2036-1,"PIAF, EDITH",La Vie En Rose - The Collectio,90204698189,1,LP,zyx/bhm,1100,0,1,1,21.07.2017
1193,GBLP 051,Širom,I Can Be a Clay Snapper,4030433605110,1,LP,Glitterbeat Records,1062,0,1,4,08.09.2017
1194,PERMVAC183,Yor Kultura,Shimming/Cosmic Tribal,673795718315,1,LP,Permanent Va,736,0,1,1,10.05.2019
1195,WIGLP066,PAVEMENT,TERROR TWILIGHT,5034202006619,1,LP,Domino Records,1109,0,1,1,13.05.2016
1196,DOL957HG,HARRY BELAFONTE,Calypso,889397219574,1,LP,DOL,815,0,1,2, 
1197,9362490881,SANDLER ADAM,THEY'RE ALL GONNA LAUGH AT YOU (RSD) (LIMITED),93624908814,2,LP,WARNER,1688,0,1,1,21.04.2018
1198,BRZ45072,"MATHEUS,HELIO / DORIS MONTEIRO",MAIS KRIOLA / MAITA,7119691250878,1,7',MR BONGO,578,0,1,2,28.09.2018
1199,AHED10020,COLDCUT X ON-U SOUND,KAJRA,5054429119336,1,LP,Ninja Tune,530,0,1,2,20.10.2017
1202,LETV566LP,"FALL, THE",NEW ORLEANS 1981,803343197570,1,LP,LET THEM EAT VINYL,1739,0,1,1,13.04.2019
1208,MT026,WINTER DRONES,HEAVY EYES,5060091554078,1,LP,MARSHAL TELLER,1156,0,1,1,14.04.2014
1210,FT017,NINZE,COMODE 01,4250101407505,1,12',FEINESTIER,2210,0,1,2,27.09.2019
1211,BHM 4002-1,"ZAWINUL, JOE & THE ZAWINUL SYN",75th,90204787555,1,LP,bhm,1350,0,1,3,17.04.2009
1214,SNDWLP045,ONDATROPICA,ONDATROPICA,5060091551756,1,LP,SOUNDWAY,1740,0,1,2,16.07.2012
1215,JRLP064,TAPPER ZUKIE,ESCAPE FROM HELL LP,5060135762216,1,LP,JAMAICAN RECORDINGS,952,0,1,1,01.10.2017
1219,MOND74,KONAMI KUKEIHA CLUB,SUPER CASTLEVANIA IV,616892502944,1,LP,MONDO,2786,0,1,1,03.08.2017
1220,3352546,CLAUDE DEBUSSY,LES CHEFS D'¿UVRES DE CLAUDE DEBUSSY,3596973525468,1,LP,WAGRAM,825,0,1,1,05.04.2018
1222,MOND99,DANNY ELFMAN,BATMAN - ORIGINAL SCORE,843563105474,1,LP,MONDO,2270,0,1,2,06.12.2018
1226,4AD0052LP,TUNE-YARDS,I CAN FEEL YOU CREEP..,191400005211,1,LP,BBQ-4AD,1305,0,1,6,19.01.2018
1228,17126,ABNORMALITY,Sociopathic Constructs (180g Black vinyl),39841564617,1,LP,Metal Blade,1306,0,1,1,10.05.2019
1232,DMF129LP,THE BEAT FEAT. RANKING ROGER,PUBLIC CONFIDENTIAL,5024545843361,1,LP,DMF RECORDS,1031,0,1,1,17.01.2019
1233,4772152,MEGALOH,REGENMACHER,602547721525,2,LP,UNIVERSAL,1538,0,1,1,04.03.2016
1236,DEMREC410,The League of Gentlemen,Live 2018   (coloured and pop-up in gatefold)    R,5014797899315,1,LP,Demon Records,2028,0,1,4,13.04.2019
1237,RGNET1346LP,VA,The Rough Guide To Bottleneck Blues,605633134643,1,LP,ROUGH GUIDE,602,0,1,1, 
1238,OH 028 LP-1,Terakaft,Alone,4015698002768,1,LP,Outhere Records,625,0,1,1, 
1239,ELKREC5LP,GULP,ALL GOOD WISHES,5053760040835,1,LP,E.L.K RECORDS / ROM,1031,0,1,1,26.07.2018
1240,3364186,VA,Sampled Funk,3596973641861,1,LP,ROM,1239,0,1,2, 
1241,304211,Amon Düül II,Lemmingmania,693723042114,1,LP,BMG - Berlin,1924,0,1,1,30.11.2018
1243,BBQLP2137,FALL,THIS NATION'S SAVING..,607618213718,2,LP,BBQ-BEGGARS BANQUET,2249,0,1,2,11.06.2015
1247,HMRL046LP,Borghesia,Proti Kapitulaciji,3830031970532,2,LP,Moonlee Records,1625,0,1,14,23.10.2018
1256,MRBLP117,"CONKA,KAROL",BATUKFREAK,711969127317,1,LP,MR BONGO,925,0,1,1,07.04.2014
1258,ZEN246,ABRA,ROSE,5054429120585,1,LP,Ninja Tune,1444,0,1,1,06.10.2017
1260,HT520638,NAZARETH,RAZAMANAZ,4050538467109,1,LP,BMG RIGHTS,1116,0,1,5,26.04.2019
1261,18361,"Pell, Axel Rudi",Magic,886922183614,1,LP,SPV,1486,0,1,1,03.06.2016
1262,4770379,ANNENMAYKANTEREIT,ALLES NIX KONKRETES,602547703798,2,LP,VERTIGO,1538,0,1,1,18.03.2016
1264,XMR103LPX,TO KILL A KING,TO KILL A KING INDIE EXCLUSIVE,5060091556171,1,LP,XTRA MILE RECORDINGS,1012,0,1,2,09.03.2015
1267,WCV21,"SANGARE, OUMOU",MOUSSOLOU -HQ-,5056032300323,1,LP,ADA-WORLD CIRCUIT,1350,0,1,2,27.05.2016
1268,CRAM 235LP,AMATORSKI,FROM CLAY TO FIGURES,876623007135,1,LP,CRAMMED DISCS,1375,0,1,1,07.07.2009
1270,455001,Demons Of Ruby Mae,Demons Of Ruby Mae,693723455006,1,LP,Long Branch,1486,0,1,1,26.10.2018
1278,OH 016 LP-1,Asmara All Stars,Eritrea's Got Soul,4047179479714,1,LP,Outhere Records,875,0,1,2, 
1279,3358236,THE DØ,BOTH WAYS OPEN JAWS,3596973582362,1,LP,ROM,1250,0,1,1, 
1280,ZEN34,KID KOALA,CARPAL TUNNEL SYNDROME,5021392160160,2,LP,Ninja Tune,1444,0,1,1,31.12.1996
1285,PRD74141,Beth Hart & Joe Bonamassa,Seesaw,819873010081,1,LP,Mascot,1000,0,1,2,24.05.2013
1287,CHARLYL190,CLUB SOUL,WIGAN CASINO SOUL CLUB,803415819010,1,LP,Snapper,1414,0,1,1,07.09.2018
1288,GBLP 020,Samba Toure,Gandadiko,4030433602010,1,LP,Glitterbeat Records,1062,0,1,2,30.01.2015
1289,DUB5LPCOL,DREADZONE,ESCAPADES (PURPLE SPLATTER LP),5024545844818,1,LP,DUBWISER,1444,0,1,2,03.01.2019
1292,RGNET1278LP,VA,The Rough Guide To Howlin' Wolf,605633627824,1,LP,ROUGH GUIDE,602,0,1,3, 
1297,7731389,DEF LEPPARD,"STORY SO FAR, VOL.2, THE  RSD 2019",602577313899,2,LP,VIRGIN,2194,0,1,3,10.04.2019
1298,OLE13611,BODY/HEAD,SWITCH,744861136118,1,LP,BBQ-MATADOR,1529,0,1,6,12.07.2018
1300,TRESOR305,MARCELUS,MAGNET EP,666017325361,1,12',TRESOR,548,0,1,1,29.06.2018
1302,ZEN205,KELIS,FOOD,5021392891163,2,LP,Ninja Tune,1444,0,1,1,21.04.2014
1303,K7334LP,Portable,Alan Abrahams,730003733413,2,LP,!K7,1920,0,1,1,19.08.2016
1304,ZYX 55802-1,VARIOUS ARTISTS,ZYX Italo Disco Boot Mix Vol.,90204692415,1,LP,zyx,1100,0,1,1,03.06.2016
1305,HPR-115,Giant Rooks,New Estate,4260311431320,1,LP,HALDERN POP RECORDINGS,744,0,1,1,27.01.2017
1308,ZZKLP033,MITU,COSMUS,5056032309920,1,LP,ZZK RECORDS,1464,0,1,2,25.08.2017
1309,6739636,"HORAN,NIALL",MIRRORS EP (RSD)          V10,602567396369,1,LP,CAPITOL RECORDS,989,0,1,1,19.04.2018
1313,ZYX 56074-1,"DAY, DORIS","Doris Day Collection, The",90204527083,1,LP,zyx,1100,0,1,1,02.11.2018
1314,XLLP790,RADIOHEAD,A MOON SHAPED POOL,634904079017,2,LP,BBQ-XL RECORDINGS,1619,0,1,2,16.06.2016
1321,BRZ45050,CELIA,NA BOCA DO SOL/A HORA E ESSA,7119691244778,1,7',MR BONGO,694,0,1,2,20.07.2011
1323,GBLP 036,Various Artists,"Khmer Rouge Survivors: They Will Kill You, If You ",4030433603611,1,LP,Glitterbeat Records,1062,0,1,2,19.08.2016
1327,DAD3002,BELLY,STAR -LTD-,652637300239,2,LP,BBQ-4AD,1619,0,1,1,14.07.2016
1328,SNDWLP100,"HELIOCENTRICS,THE",SUNSHINE MAKERS - OST,5056032307995,1,LP,Soundway Records,1354,0,1,2,30.06.2017
1329,WIGLP012,FLYING SAUCER ATTACK,DISTANCE,5018766941524,1,LP,Domino Records,1109,0,1,1,18.03.2016
1330,269845,"Ford, Lita",Time Capsule,886922698453,1,LP+CD,Steamhammer - Hannover,1136,0,1,1,17.06.2016
1333,DUB1LP,Dreadzone,Eye on the Horizon,5060463418014,1,LP,DUBWISER,1134,0,1,2,24.11.2018
1334,KSLP084,VARIOUS ARTISTS,"SOME A HOLLA, SOME A BAWL",5060135762766,1,LP,KINGSTON SOUNDS,1012,0,1,2,20.09.2019
1335,MOVLP1896,BLIND MELON,SOUP -HQ/GATEFOLD/INSERT-,600753766248,1,LP,MUSIC ON VINYL,1564,0,1,1,02.11.2017
1336,ZYX 59010-1,"CELENTANO, ADRIANO",Golden Hits,90204704910,1,LP,zyx,1100,0,1,1,18.09.2015
1338,CHARLYL131,THE METERS,HERE COMES THE METER MAN,803415813117,1,LP,Snapper,1245,0,1,2,30.06.2014
1341,MOVLP1873,CASH/NELSON/JENNINGS/KRIS,HIGHWAYMAN -HQ/INSERT-,8719262003743,1,LP,MUSIC ON VINYL,1339,0,1,1,22.06.2017
1342,RDCA1059,THE FIN,THERE,4525853094694,1,LP,HIP LAND MUSIC,1299,0,1,1,28.06.2018
1343,XMR145LP,"SCHOEPP,TRAPPER",PRIMETIME ILLUSION,5056032315686,1,LP,XTRA MILE RECORDINGS,1125,0,1,3,25.01.2019
1346,BD269,ROOTS MANUVA,BLEEDS,5054429002706,1,LP,Ninja Tune,1155,0,1,3,30.10.2015
1347,DOMDOC001LP,JULIA HOLTER,IN THE SAME ROOM,191508000118,1,LP,Domino Records,1269,0,1,3,31.03.2017
1349,286601,Them,Manor Of The Se7en Gables,886922866012,1,LP+CD,Steamhammer - Hannover,1924,0,1,1,26.10.2018
1351,WIGLP274,ANIMAL COLLECTIVE,CENTIPEDE HZ,5034202027416,1,LP,Domino Records,1109,0,1,2,03.09.2012
1352,CHARLYL125,TOWNES VAN ZANDT,LIVE AT THE OLD QUARTER,803415182510,1,LP,Snapper,1439,0,1,4,13.01.2014
1354,MOVLP565,"WATERS, MUDDY",HARD AGAIN,8718469531004,1,LP,MUSIC ON VINYL,1339,0,1,1,05.07.2012
1355,1143771,Aerosmith,Rockin Roots Of,9782227136274,1,LP,Laser Media - Wiesenstieg,1311,0,1,1,17.02.2017
1361,FEM003LP,FEMINA,PERLAS & CONCHAS,5056032320413,1,LP,FEMINA,1125,0,1,1,05.04.2019
1365,LITA123LP,LEWIS,ROMANTIC TIMES,826853012317,1,LP,LIGHT IN THE ATTIC,756,0,1,1,01.10.2017
1366,3700477830656,FRANK SINATRA,I WON'T DANCE (SILVER VINYL + CD)   RSD 19',3700477830656,1,LP,RAT PACK,1890,0,1,1,13.04.2019
1368,FDR631LP,TIM BUCKLEY,LADY GIVE ME YOUR KEY - THE UN,826853063111,1,LP,FUTURE DAYS RECOR,1891,0,1,1,01.10.2017
1370,MRBLP167,"SYLVERS,FOSTER",FOSTER SYLVERS,7119691252513,1,LP,MR BONGO,1351,0,1,3,01.06.2018
1373,5796999,U2,POP,602557969993,2,LP,ISLAND,2344,0,1,2,13.04.2018
1376,VILELP813,CANCER,BALLCUTTER,801056881311,1,12',Snapper,1052,0,1,2,19.07.2019
1377,VSP130LP,Carnal Forge,Gun to Mouth Salvation (Black vinyl),200000070779,1,LP,VICISOLUMP,1250,0,1,1,01.02.2019
1378,SUNN100LP,SUNN O))),MONOLITHS AND DIMENSIONS,808720010015,1,LP,SOUTHERN LORD,2064,0,1,2,01.10.2017
1380,MOND141,HOWARD SHORE,THE SILENCE OF THE LAMBS,602577504051,1,LP, ,3096,0,1,2,12.07.2019
1381,DWO6,GRAHAM REZNICK,GLASS ANGLES,5053760013082,1,LP, ,2065,0,1,2,12.07.2019
1383,DOS675H,FRANK SINATRA,I Remember Tommy,889397556754,1,LP,DOL,689,0,1,2, 
1386,METARSDG1B,GOLDIE,GOLDIE PRESENTS 25 YEARS OF GOLDIE,5053760040453,1,LP,Metalheadz,1574,0,1,1,11.07.2018
1388,OLE11281,SPOON,HOT THOUGHTS,744861112815,1,LP,BBQ-MATADOR,1305,0,1,1,16.03.2017
1391,DWO135,JOHN CARPENTER,HALLOWEEN - 40th ANNIVERSARY 1978 ORIGINAL SOUNDTR,5053760043355,1,LP,DEATH WALTZ RECORDIN,2476,0,1,1,18.10.2018
1392,DW51,ANGELO BADALAMENTI,TWIN PEAKS - FIRE WALK WITH ME,8268538741136,1,LP,DEATH WALTZ RECORDIN,3096,0,1,1,09.02.2017
1394,HYP008,KODE9 VS LD,BAD / 2 BAD,5055300300164,1,12',HYPERDUB,421,0,1,1, 
1396,COUNT134,JONO MCCLEERY,SEEDS OF A DANDELION,5054429131673,1,LP,Ninja Tune,1155,0,1,2,02.03.2018
1397,JAR21LP,BIRDPEN,THERE'S SOMETHING WRONG WITH EVERYTHING,5060273030192,1,LP,Jar Records,1444,0,1,1,04.10.2018
1398,MOSHILP88,KIRAN LEONARD,WESTERN CULTURE,5060164956273,1,LP,MOSHI MOSHI,1340,0,1,1,11.10.2018
1400,BBE396CLP,V.A.,JEAN-CLAUDE´S IF MUSIC,730003139611,3,LP,BBE,1625,0,1,1,24.02.2017
1408,EPIT 87642-1,LIDO PIMIENTA,La Papessa,45778764211,1,LP,Epitaph,1062,0,1,3, 
1411,BF064,THUNDERCAT,DRUNK,5054429007763,1,LP,Ninja Tune,2310,0,1,1,10.03.2017
1412,SIS 1025-1,LITTLE RICHARD,Tutti Frutti,90204639854,1,LP,zyx/sis,1100,0,1,2,19.07.2013
1413,PSYCH011LP,Imperial State Electric,In Concert (10'),200000025854,1,LP,PSYCHOUT,1250,0,1,1,29.04.2011
1414,K7285LP,Motor City Drum Ensemble,DJ-Kicks,730003728518,3,LP,!K7,1849,0,1,1,13.09.2019
1416,mfp080,dapayk solo,"transformation rmxs, ricky ambilotti, marek bois",4260038311523,1,12',Mos Ferry,524,0,1,1, 
1419,SNDWLP084,VARIOUS,KENYA SPECIAL: VOLUME TWO,5056032304604,3,LP,SOUNDWAY,1616,0,1,1,07.10.2016
1421,SLANG50045LP,Junip,Junip (LP+MP3),4250506806422,1,LP,CITY SLANG,892,0,1,5,18.01.2019
1423,ZEN113,BLOCKHEAD,DOWNTOWN SCIENCE,5021392435183,1,LP,Ninja Tune,1444,0,1,2,16.10.2001
1424,PRD75851,Robert Randolph & The Family Band,Brighter Days (180 Gr.Black LP+MP3),819873018964,1,LP,Mascot,1250,0,1,1,31.05.2019
1426,LSD010,ASGER BADEN,ZARNIQA,5700907263243,1,LP,Lizardshakedown Records,1532,0,1,1,31.08.2018
1429,SK345LP,Micatone,The Crack,821730034512,1,LP,SONAR KOLLEKTIV,1384,0,1,1,01.12.2017
1431,HT521990,NAZARETH,EXPECT NO MERCY,4050538466164,1,LP,BMG RIGHTS,1116,0,1,6,26.04.2019
1432,SUNSLP1240,JOHNNY CASH,GREATEST!,803415828012,1,LP,Snapper,1224,0,1,2,16.11.2018
1435,7726903,STEREOPHONICS,LIVE FROM DAKOTA (COLOUR VINYL) - RSD 2019,602577269035,2,LP,MERCURY,2194,0,1,3,10.04.2019
1437,DEMREC104,THE PRETENDERS,THE PRETENDERS - GET CLOSE VINYL,5014797893009,1,LP,DEMON,1268,0,1,1,07.08.2015
1438,OLE12971,SPOON,GA GA GA GA GA,744861129714,1,LP,BBQ-MATADOR,1889,0,1,2,20.10.2017
1440,SS013LP,"MARY,ELLE/& THE BAD MEN",CONSTANT UNFAILING NIGHT,5056032310025,1,LP,SIDEWAYS SALOON,1239,0,1,1,09.03.2018
1444,TR181LP,LeeRanaldoJimJarmusc,ST,9120036682856,1,LP,Trost Record,1316,0,1,1,17.05.2019
1446,4737689,"KRALL,DIANA",FROM THIS MOMENT ON,602547376893,2,LP,VERVE,1870,0,1,1,15.07.2016
1448,MRBLP195,"MURAOKA,MINORU",BAMBOO,7119691258812,1,LP,MR BONGO,1690,0,1,2,24.05.2019
1450,RGNET1366LP,Willie McTell,The Rough Guide To Blind Willie McTell,605633136647,1,LP,ROUGH GUIDE,602,0,1,6, 
1451,EPIT 27459-1,Architects,Lost Forever // Lost Together (RSD 2016),8714092745917,1,LP,Epitaph,1062,0,1,2, 
1460,MRBLP138,ELOAH,OS ORIXAS,7119691244617,1,LP,MR BONGO,1351,0,1,1,29.07.2016
1465,ZEN226X,THE CINEMATIC ORCHESTRA,TO BELIEVE,5054429136302,1,LP,Ninja Tune,1732,0,1,4,15.03.2019
1467,HDB120,BURIAL,CLAUSTRO / STATE FOREST,5055869558952,1,LP,HYPERDUB,702,0,1,6, 
1470,WCV86,"DIAWARA, FATOUMATA",FATOU -HQ/DOWNLOAD-,769233008619,1,LP,ADA-WORLD CIRCUIT,1350,0,1,3,19.09.2011
1471,TB6010,BILL LASWELL,Baselines,889397106010,1,LP,TIGER BAY,1129,0,1,2, 
1472,WIGLP425,James Yorkston,The Route To The Harmonium,887828042517,1,LP,Domino Records,1116,0,1,5,22.02.2019
1473,6725277,"THOROGOOD,GEORGE",BORN TO BE BAD,602567252771,1,LP,CAPITOL,1688,0,1,2,30.03.2018
1475,ROK19LPX,PHOBOPHOBES,MINIATURE WORLD,5053760033929,1,LP,RA RA ROK,1784,0,1,1,07.01.2018
1477,FARO189LP,Nomade Orquestra,Nomade Orquestra,5060211503030,1,LP,Far Out,1121,0,1,2, 
1478,RGNET1349LP,VA,The Rough Guide To Gospel Blues,605633134940,1,LP,ROUGH GUIDE,602,0,1,1, 
1479,3795300,TAME IMPALA,LONERISM,602537953004,2,LP,CAROLINE RECORDS,1754,0,1,1,12.04.2019
1484,YALA8,BLANC,CHAMELEON,5024545843613,1,7',YALA,411,0,1,1,21.02.2019
1490,CREP67,GONZO,RUIDO(S),5055869544788,1,LP,DISCREPANT RECORDS,1095,0,1,1,30.08.2019
1492,CHARLYL154,AARON NEVILLE,HERCULES - THE MINIT & SANSU SESSIONS 1960-1976,803415815418,1,LP,Snapper,1224,0,1,2,28.07.2014
1497,AFM 7131,Elvenking,Reader Of The Runes-Divination (Gtf. 2 Red-LP),884860277211,1,LP,AFM RECORDS,1546,0,1,2,30.08.2019
1498,ZYX 21005-1,DIVINE,Shoot Your Shot - Best Of,90204627608,1,LP,zyx,1100,0,1,1,16.11.2012
1500,2MR037-1,Fit Of Body,Black Box No Cops,90125169430,1,LP,2MR,1536,0,1,2,22.06.2018
1501,LB0005LP,SILVIO RODRIGUEZ,CUBA CLASSICS 1: SILVIO RODRIGUEZ GREATEST HITS,680899000512,1,LP,LUAKA BOP,1438,0,1,1, 
1503,CRAM 276 LP,YASMINE HAMDAN,AL JAMILAT,876623007739,1,LP,CRAMMED DISCS,1375,0,1,1,10.07.2009
1504,MOND115,JOHN WILLIAMS,JAWS,602567126942,1,LP,MONDO,3199,0,1,1,25.01.2018
1505,COUNT087,DAVID AUGUST,J.B.Y / OUVERT,5054429004649,1,LP,Ninja Tune,674,0,1,1,27.05.2016
1506,WIGLP322,BLOOD ORANGE,CUPID DELUXE,887828032211,1,LP,Domino Records,1269,0,1,3,18.11.2013
1508,3352626,NAT KING COLE,UNFORGETTABLE,3596973526267,1,LP,WAGRAM,825,0,1,1,05.04.2018
1509,r.m03,jonny teardrop,"no problemo, 180g vinyl",4260038315187,1,LP,rouge mécanique,1030,0,1,1,10.02.2017
1514,SURFACE02LP,SAINT SAVIOUR,IN THE SEAMS,5060091555204,1,LP,SURFACE AREA RECORDS,1012,0,1,1,24.11.2014
1517,DOS674H,HANK WILLIAMS,Ramblin' Man,889397556747,1,LP,DOL,689,0,1,2, 
1520,XMR128LP,"TURNER,FRANK",SLEEP IS FOR THE WEEK,5056032307261,2,LP,XTRA MILE RECORDINGS,1464,0,1,2,27.01.2017
1524,WIGLP100,CLINIC,WALKING WITH THEE,5034202010012,1,LP,Domino Records,1109,0,1,2,13.05.2016
1527,TEXT036LP,FOUR TET,MORNING/EVENING,666017291017,1,LP,TEXT,1008,0,1,3,04.10.2019
1528,SNDWLP115,JAY-U EXPERIENCE,ENOUGH IS ENOUGH,5056032309494,1,LP,Soundway Records,1320,0,1,2,18.08.2017
1530,279981,"Frehley, Ace",Anomaly - Deluxe,886922799815,1,LP,Steamhammer - Hannover,1924,0,1,2,06.10.2017
1531,LB5037LP,William Onyeabor,Hypertension,680899503716,1,LP,LUAKA BOP,1600,0,1,1,27.11.2015
1533,FARO022LPX,Marcos Valle,Nova Bossa Nova (1998),5060211503788,1,LP,Far Out,1121,0,1,1, 
1534,109021,Carpe Noctem,Vitrun,8033622535881,1,LP,Code666,2730,0,1,3, 
1535,GBLP 061,Stella Chiweshe,Kasahwa: Early Singles,4030433606117,1,LP,Glitterbeat Records,1062,0,1,4,14.09.2018
1536,BWOOD175LP,VARIOUS ARTISTS,WE OUT HERE,5060180323325,1,LP,brownswood,1444,0,1,1,01.02.2018
1539,WIGLP303,CLINIC,FREE REIGN II,5034202030317,1,LP,Domino Records,1109,0,1,1,04.03.2013
1540,MALKATUTILP007,SHARI VARI,NOW,4250101408403,1,LP,MALKA TUTI,1732,0,1,3,13.09.2019
1541,DUB11LP,Dreadzone,Dread Times,5060463410414,1,LP,DUBWISER,1340,0,1,2,24.11.2018
1542,MOVLP725,"HENDRIX, JIMI -EXPERIENCE",ARE YOU EXPERIENCED -HQ-,8718469532292,1,LP,MUSIC ON VINYL,1519,0,1,1,14.03.2013
1545,MCR927G,THIS HEAT,REPEAT/METAL (SLATE GREY),666017328416,1,LP,MODERN CLASSICS,1891,0,1,1,28.09.2018
1548,WIGLP417,Julia Holter,Aviary,887828041718,2,LP,Domino Records,1269,0,1,7,26.10.2018
1549,PPAN018,Eric Bibb,Natural Light,5060149621950,1,LP,Pure Pleasure,1941,0,1,1,13.05.2014
1551,LTMLP2528,23 SKIDOO,SEVEN SONGS,5024545635812,1,LP,LTM,1490,0,1,1,21.09.2018
1553,RGNET1328LP,VA,The Rough Guide To Barbecue Bob,605633632828,1,LP,ROUGH GUIDE,602,0,1,2, 
1554,ID001,Get a room!,EP1,4260544824401,1,LP,INSANEDANCES,655,0,1,1,05.10.2018
1555,WIGLP381X,SAM COOMES,BUGGER ME (LTD),887828038138,1,LP,DOMINO,1126,0,1,1,19.08.2016
1562,MOND179,VARIOUS,TEEN SPIRIT,602508033735,1,LP,MONDO,2374,0,1,1,16.08.2019
1565,HDB100,BURIAL,YOUNG DEATH / NIGHTMARKET,5055300386526,1,12',HYPERDUB,632,0,1,10, 
1567,quintesse64,KRL,Never leave feat. Janine Small (The remixes),4260544826467,1,12',quintessentials,686,0,1,1,22.03.2019
1569,3734755,"DRAKE,NICK",BRYTER LAYTER             Back to black,602537347551,1,LP,ISLAND,1289,0,1,2,07.06.2013
1571,MOVLP1505,MADRUGADA,INDUSTRIAL SILENCE,8718469539970,1,LP,MUSIC ON VINYL,1676,0,1,1,11.02.2016
1573,SMALP1107,OZRIC TENTACLES,PYRAMIDION,636551810715,1,LP,Snapper,1224,0,1,2,12.04.2019
1576,GBEP 030,Chimurenga Renaissance,Girlz With Gunz,4030433603079,1,12',Glitterbeat Records,688,0,1,2,05.02.2016
1577,WCV65,"FERRER, IBRAHIM",BUENOS HERMANOS,5056032300293,1,LP,ADA-WORLD CIRCUIT,1350,0,1,1,11.11.2016
1578,BLOD045LP,Månegarm,Vargstenen - Gtf LP,6663666440456,1,LP,BLACKLODGE,1250,0,1,1,22.02.2019
1580,782981,Black Fast,Spectre Of Ruin,634164601119,1,LP,eOne Music - Vertrieb,2136,0,1,2,06.07.2018
1581,HDBLP001,BURIAL,BURIAL,5024545413014,1,LP,HYPERDUB,984,0,1,10, 
1583,XMR149LP,Johnny Lloyd,Next Episode Starts In 15 Seconds,5056032321656,1,LP,Xtra Mile Recordings,1158,0,1,4,03.05.2019
1586,MRBLP175,"AMBOLLEY,GYEDU-BLAY",SIMIGWA,7119691254418,1,LP,MR BONGO,1351,0,1,2,28.09.2018
1587,TMR300,WHITE STRIPES,GET BEHIND ME SATAN -HQ-,813547020062,1,LP,BBQ-XL RECORDINGS,1799,0,1,1,26.01.2017
1588,WRWTFWW019,"TAKADA,MIDORI",THROUGH THE LOOKING GLASS (201,7640153367198,1,LP,WE RELEASE WHATEVER,1729,0,1,2,01.10.2017
1589,dirt113,"V/A (Felix Leifur,Harry Wolfman,Ponty Mython)",Deep Love 2018 (500 Limited - Full Cover),4260544823176,1,LP,dirt crew,1124,0,1,1,14.09.2018
1590,M75891,Stray Cats,40 (180 Gr.Black Vinyl Gatefold Sleeve+MP3),819873019206,1,LP,Mascot,1250,0,1,2,24.05.2019
1592,3764974,BECK,MORNING PHASE,602537649747,1,LP,CAROLINE RECORDS,1289,0,1,1,28.02.2014
1593,5355032,BLONDIE,BLONDIE,600753550328,1,LP,CHRYSALISÍEMI RECORDS (US),1688,0,1,1,01.05.2015
1595,MOVLP1853,NENA,FRAGEZEICHEN -?- -HQ-,8719262003521,1,LP,MUSIC ON VINYL,1339,0,1,1,18.05.2017
1600,ZYX 23017-1,BABY'S GANG,Challenger (Deluxe Edition),90204696000,1,LP,zyx,1100,0,1,1,10.02.2017
1603,3346006,WILLIE COLON & RUBEN BLADES,Metiendo Mano!,3596973460066,1,LP,WAGRAM,1651,0,1,2, 
1604,ZEN12367,MACHINEDRUM,EYESDONTLIE,5021392830162,1,LP,Ninja Tune,674,0,1,1,28.07.2009
1605,nm022,Anestie Gomez,"Hungry Bears Don't Dance (Vinyl Only 2x12,Ltd 500)",4260544826177,1,LP,nervmusic records,1311,0,1,1,21.09.2018
1606,MOND100,DANNY ELFMAN,BATMAN RETURNS,616892467946,1,LP,MONDO,3199,0,1,1,23.11.2017
1608,DOL930HG,BEATLES,The Decca Tapes,889397219307,1,LP,DOL,815,0,1,1, 
1611,VILELP785,DARKTHRONE,OLD STAR,801056878519,1,LP,Snapper,1224,0,1,1,31.05.2019
1612,GBLP 050,Jupiter & Okwess,Kin Sonic,4030433605011,1,LP,Glitterbeat Records,1062,0,1,1,07.07.2017
1613,1157483591,"JONES, HANK -TRIO-",ARIGATO,711574835911,1,LP,ADA-ORG,1710,0,1,1,01.11.2018
1614,3728846,"WALKER,SCOTT",SCOTT,602537288465,1,LP,MERCURY,1688,0,1,2,23.05.2014
1615,LPA069,VARIOUS ARTISTS,KITSUNE AMERICA 5 - THE NBA LIMITED EDITION,3700792722155,1,LP,ROM,1445,0,1,1, 
1618,17063,ANTROPOMORPHIA,Merciless Savagery  (Dead Gold Marbled Vinyl  ltd.,39841564839,1,LP,Metal Blade,1425,0,1,1,05.04.2019
1619,WULA11,THE SUPERMEN LOVERS,CLOCK SUCKER,3770008926318,1,LP,Diggers Factory,1134,0,1,1,07.02.2019
1624,WCV63,ORCHESTRA BAOBAB,PIRATES CHOICE -HQ-,5060091556188,1,LP,ADA-WORLD CIRCUIT,1530,0,1,2,19.06.2018
1627,STUDIOMULE3,STUDIO MULE,CARNAVAL FEAT MIYAKO KOUDA AKA,880319911118,1,12',STUDIO MULE,895,0,1,1,30.03.2018
1628,XEN019LP,Öberg Anna,Vafan har jag gjort! - LP,7320470238912,1,LP,AIN,1250,0,1,1,15.03.2019
1630,9685996966,SANTANA,SANTANA IV,696859969669,2,LP,MYSTIC/SANTANA IV,2825,0,1,1,15.04.2016
