,ID,ARTIST,TITLE,BARCODE,UNIT,FORMAT,LABEL,PRICE,PRECISION,DELIVERY,STOCK,DATE
3713,6749045,GENESIS,SELLING ENGLAND BY THE POUND,602567490456,1,LP,VIRGIN,1481,0,1,1,03.08.2018
3714,SMALP1043,OZRIC TENTACLES,SLIDING GLIDING WORLDS,636551804318,1,LP,Snapper,1414,0,1,2,14.08.2015
3715,3358516,EDDIE COCHRAN,SUMMERTIME BLUES,3596973585165,1,LP,WAGRAM,928,0,1,1,25.10.2018
3718,HT053991,NAZARETH,NO MEAN CITY,4050538466126,1,LP,BMG RIGHTS,1116,0,1,2,26.04.2019
3719,4050538464146,MOTORHEAD,SACRIFICE -REISSUE-,4050538464146,1,LP,ADA-BMG RIGHTS,1350,0,1,1,28.03.2019
3721,LITA175LP,"KANENOBU,SACHIKO",MISORA,826853017510,1,LP,LIGHT IN THE ATTIC,2144,0,1,2,09.08.2019
3724,BOXREC41,LOWER SLAUGHTER,SOME THINGS TAKE WORK,5053760046547,1,LP,BOX RECORDS,1340,0,1,1,21.03.2019
3725,BF071,ROSS FROM FRIENDS,FAMILY PORTRAIT,5054429133592,1,LP,Ninja Tune,1540,0,1,1,27.07.2018
3730,RPUT23,TRIPTIDES,VISITORS,5056032313231,1,LP,REQUIEM FOR A TWISTER,1239,0,1,1,06.04.2018
3731,TWI119,"PALE FOUNTAINS,THE",SOMETHING ON MY MIND,708527000236,1,LP,CREPUSCULE,1310,0,1,1,15.06.2018
3734,7208759,DIVERSE POP,STAX DOES THE BEATLES     RSD 2019,888072087590,2,LP,CONCORD,2016,0,1,1,10.04.2019
3735,5351473,BURNING SPEAR,MARCUS GARVEY,600753514733,1,LP,ISLAND,1688,0,1,1,01.08.2014
3736,PRAH002,"HACKFORD,BRYCE",FAIR,5060091553408,1,LP,PRAH,724,0,1,2,09.12.2013
3737,0213215EMU,Marillion,Marillion-All One Tonight(Live),4029759132158,1,LP,EMU,2189,0,1,3,27.07.2018
3738,5053836239,GRAVE DIGGER,WITCH HUNTER -COLOURED-,4050538362398,1,LP,ADA-NOISE,1350,0,1,1,24.05.2018
3741,0007AD,GEMINI,"BEGINNING,THE",666017323213,1,LP,ANOTHER DAY,4171,0,1,6,27.04.2018
3742,BEC5156196,LES RITA MITSOUKO,"VARIÉTY-1LP Gatefold, numbered+cd (LTD RSD2016 )",5060421561967,1,LP,Because Music,1499,0,1,1,16.04.2016
3745,DW133,OST,A QUIET PLACE,5053760044048,1,LP,DEATH WALTZ RECORDIN,2166,0,1,1,22.11.2018
3746,OLE11141,"PHAIR, LIZ",EXILE IN GUYVILLE,744861111412,1,LP,BBQ-MATADOR,1529,0,1,1,04.05.2018
3747,MOND121,ORIGINAL CAST RECORDING,BUFFY THE VAMPIRE SLAYER: ONE MORE WITH FEELING,843563110980,1,LP,MONDO,2271,0,1,1,24.05.2019
3748,CAD803,PIXIES,SURFER ROSA,652637080315,1,LP,BBQ-4AD,1305,0,1,1,09.09.2004
3749,ETR087,"WK,ANDREW",I GET WET,602577153396,1,LP,ENJOY THE RIDE,2501,0,1,2,23.08.2019
3751,3527,Ry Cooder,An Acoustic Evening With Ry Cooder (Marbled LP),4260494435276,1,LP,Power Station,1156,0,1,2, 
3752,FF001,JEAN JACQUES PERREY,JEAN-JACQUES PERREY ET SON OND,712145792862,1,LP,FORGOTTEN FUTURES,2368,0,1,1,01.10.2017
3754,GBLP 056,Sonido Gallo Negro,Mambo Cosmico,4030433605615,1,LP,Glitterbeat Records,1062,0,1,2,06.04.2018
3755,SJRLP96,VA,Studio One Classics,5026328000961,1,LP,Soul Jazz,1830,0,1,1,01.08.2004
3758,BBE451ALP,The Herbaliser,Bring Out The Sound,730003145117,2,LP,BBE,1920,0,1,1,02.03.2018
3759,WRJ001REG,"FUKUI,RYO",SCENERY,4260544825095,1,LP,WE RELEASE JAZZ,1670,0,1,3,09.11.2018
3760,EPIT 26942-1,MAN MAN,Rabbit Habits,45778694211,1,LP,Epitaph,875,0,1,1, 
3761,MTR73631,Flying Colors,Flying Colors,8712725736318,1,LP,Mascot,1000,0,1,1,23.03.2012
3762,MWM19AMV,TONE SPLIFF,ADORE MELODICO,3770008926714,1,LP,Diggers Factory,1960,0,1,2,21.02.2019
3763,FFSLP1,APRIL TOWERS,CERTIFED FREAKY,5053760038696,1,LP,FFS,1259,0,1,1,30.05.2018
3764,JRLP005,AGGROVATORS,DUBBING IT STUDIO ONE STYLE,5036848001003,1,LP,JAMAICAN RECORDINGS,1012,0,1,2,23.08.2019
3765,MOND123,OST,KATAMARI DAMACY,843563105207,1,LP,MONDO,2579,0,1,1,15.11.2018
3773,TTR007LP,"THING,THE",AGAIN,9120036682665,1,LP,THE THING RECORDS,1314,0,1,1,08.06.2018
3774,KSCOPE1026,RICHARD BARBIERI,THINGS BURIED,802644802619,1,LP,Snapper,1414,0,1,2,05.04.2019
3776,RGNET1343LP,VA,The Rough Guide To The Blues Songsters,605633134346,1,LP,ROUGH GUIDE,602,0,1,2, 
3778,XL987LP,"YORKE, THOM",ANIMA,191404098714,2,LP,BBQ-XL RECORDINGS,1799,0,1,2,19.07.2019
3779,BEC5543331,LES NEGRESSES VERTES,FAMILLE NOMBREUSE,5060525433313,1,LP,BECAUSE MUSIC,1431,0,1,2,30.03.2018
3781,BF075,DORIAN CONCEPT,THE NATURE OF IMITATION,5054429134506,1,LP,Ninja Tune,1155,0,1,1,14.09.2018
3782,WARPLP101R,Boards Of Canada,Geogaddi (Gatefold 3LP+MP3),801061810115,3,LP,WARP,1476,0,1,1,18.10.2013
3783,5848001,"JONES,NORAH",FEELS LIKE HOME,724358480016,1,LP,BLUE NOTE RECORDS,1688,0,1,2,12.02.2004
3790,HD40,THOUSAND FOOT WHALE CLAW,BLACK HOLE PARTY,616892527749,1,LP,HOLODECK RECORDS,1364,0,1,1,20.06.2018
