"ID";"ARTIST";"TITLE";"BARCODE";"UNIT";"FORMAT";"LABEL";"PRICE";"PRECISION";"DELIVERY";"STOCK";"DATE"
"CREP64";"KERBAJ,MAZEN";"TRUMPET SOLO VOL. 2.2  CUTS, O";"5055869544757";"1";"LP";"DISCREPANT RECORDS";"1132";"0";"1";"2";"20.09.2019"
"7729738";"BLOSSOMS";"COOL LIKE YOU             RSD 2019";"602577297380";"2";"LP";"EMI";"1735";"0";"1";"1";"10.04.2019"
"MUS 81195-2";"VARIOUS ARTISTS";"MINIMAL HOUSE";"0090204694358";"2";"CD";"ZYX/WO";"246";"0";"1";"2";""
"LORD255LP";"PRIMALS,THE";"ALL LOVE IS TRUE LOVE";"808720025514";"1";"LP";"SOUTHERN LORD";"1134";"0";"1";"1";"21.09.2018"
"FR CD 764";"Hevidence";"Nobody S Fault";"8024391076422";"1";"CD";"Frontiers";"975";"0";"1";"1";"02.12.2016"
"CR034";"Grafvitnir";"Keys To The Mysteries Beyond";"7320470228555";"1";"CD";"CARNALRECO";"688";"0";"1";"1";"15.12.2017"
"ALNLP48";"GARDEN CITY MOVEMENT";"APOLLONI";"5060391091167";"1";"LP";"LATE NIGHT TALES";"1469";"0";"1";"1";"07.03.2018"
"3793620";"ADAMS,BRYAN";"TRACKS OF MY YEARS";"602537936205";"1";"CD";"POLYDOR";"791";"0";"1";"1";"03.10.2014"
"305361";"Amon Düül II";"Live in London";"693723053615";"1";"LP";"BMG - Berlin";"2136";"0";"1";"2";"26.10.2018"
"BR1999192";"Tomas Sauter Tranceactivity";"Fluo";"4015307991926";"1";"CD";"Brambus Records";"625";"0";"1";"3";""
"DAD3X6";"THIS MORTAL COIL";"BLOOD";"652637300611";"1";"LP";"BBQ-4AD";"2519";"0";"1";"1";"06.12.2018"
"0293";"Eric Clapton & Jimmy Page";"Guitar Legends";"4260053472933";"1";"LP";"Power Station";"1031";"0";"1";"5";""
"SMRCD31";"BLACK SABBATH";"BLACK SABBATH -REMAST-";"5050749203120";"1";"CD";"ADA-NOISE";"675";"0";"1";"1";"30.03.2009"
"2245";"V.A.";"This Is Salsa - The Album";"7619943022456";"1";"CD";"Power Station";"325";"0";"1";"2";""
"TAMB138LP";"Palace Winter";"Waiting For The World To Turn (LP+MP3)";"7332181068931";"1";"LP";"TAMBOURHINOCEROS";"1181";"0";"1";"1";"19.02.2019"
"BD274";"ROOTS MANUVA";"SWITCHING_SIDES";"5054429004083";"1";"LP";"Ninja Tune";"674";"0";"1";"2";"16.04.2016"
"DFG8706";"Wayne Kenny Blues Boss";"An Old Rock on a Roll";"3149028004229";"1";"CD";"DIXIEFROG";"250";"0";"1";"1";"26.05.2011"
